,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,,,,,,
139,Hamza Choudhury ,Midfielder,8,,,9,56%,,2,8,4,2,,22,14,17,0,0,1,,0,1,164,20.5,1,1,0%,1,12,1,0,5,0,0,0,0,0,0,0,,,,,
140,Eric Maxim Choupo-Moting ,Forward,30,,,42,,,15,23,25,11,,,,,,,,,,5,641,21.37,5,35,,,,3,0,21,14,5,1,3,1,1,0.17,,,,,
141,Chris Löwe ,Defender,23,5,26,43,67%,0,2,34,55,20,1,74,68,60,5,12,12,0,1,0,619,26.91,0,73,15%,0,39,1,0,13,0,0,0,0,0,0,,,,,,
142,Andreas Christensen ,Defender,27,6,23,26,50%,0,2,38,104,60,0,139,98,40,5,56,29,0,1,0,"1,349",49.96,0,0,0%,1,62,0,0,8,1,0,0,0,0,2,,,,,,
143,Ciaran Clark ,Defender,20,4,30,25,68%,0,2,17,140,65,3,95,80,67,4,41,37,0,0,1,699,34.95,2,2,0%,1,61,3,0,17,0,2,2,0,0,0,,,,,,
144,Jake Clarke-Salter ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
145,Jordy Clasie ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
146,Tom Cleverley ,Midfielder,23,,,48,54%,,6,25,19,6,,151,103,124,5,24,42,,0,2,"1,137",49.43,0,82,23%,2,57,1,1,33,1,1,0,1,0,0,0.04,,,,,
147,Sam Clucas ,Midfielder,29,,,34,56%,,4,29,30,17,,110,89,91,5,37,36,,0,1,786,27.1,1,55,22%,2,33,2,0,10,3,3,0,1,2,0,0.1,,,,,
148,Nathaniel Clyne ,Defender,3,1,1,3,33%,0,1,0,3,1,0,10,6,12,0,3,3,0,0,0,104,34.67,0,7,14%,0,5,1,0,4,0,0,0,0,0,0,,,,,,
149,Luke Coddington ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
150,Jack Colback ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
151,Séamus Coleman ,Defender,12,4,12,14,100%,0,0,10,23,16,0,53,66,44,25,14,11,0,1,1,357,29.75,1,28,14%,0,10,0,0,3,0,0,0,0,0,1,,,,,,
152,Michael Collins ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
153,Aaron Connolly ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
154,Francis Coquelin ,Midfielder,7,,,5,80%,,1,3,2,0,,11,9,8,1,2,2,,0,0,96,13.71,1,0,0%,0,7,0,0,2,0,0,0,0,0,0,0,,,,,
155,Jack Cork ,Midfielder,38,,,60,73%,,5,41,81,38,,244,196,198,31,58,78,,1,1,"1,584",41.68,0,19,21%,0,87,7,0,23,1,2,2,0,0,0,0.05,,,,,
156,Thibaut Courtois ,Goalkeeper,35,15,34,,,,,,,,,,,,,,,0,0,0,983,28.09,,,,,188,2,0,2,,0,,,,,,,,,,
157,Martin Cranie ,Defender,3,0,7,3,67%,0,0,1,9,4,1,9,6,3,1,2,2,0,0,0,90,30,0,0,0%,0,8,0,0,0,0,0,0,0,0,0,,,,,,
158,Aaron Cresswell ,Defender,36,10,60,34,62%,0,6,44,110,67,0,149,111,104,5,57,48,0,0,7,"1,299",36.08,5,196,18%,3,98,7,0,20,3,1,0,0,1,2,,,,,,
159,Peter Crouch ,Forward,31,,,2,,,1,1,31,28,,,,,,,,,,2,634,20.45,5,3,,,,4,0,40,14,5,3,1,1,2,0.16,,,,,
160,Cuco Martina ,Defender,21,5,30,61,57%,0,0,42,117,49,1,117,94,91,2,23,35,0,0,2,780,37.14,2,45,33%,1,44,1,0,26,2,0,0,0,0,0,,,,,,
161,Cristián Cuevas ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
162,Josh Cullen ,Midfielder,2,,,0,0%,,0,2,0,0,,1,0,1,0,0,0,,0,0,4,2,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
163,Pontus Dahlberg ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
164,James Daly ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
165,Charlie Daniels ,Defender,35,6,50,48,71%,0,6,31,93,39,1,214,122,95,13,46,44,0,0,3,"1,568",44.8,4,106,11%,2,59,0,0,7,0,1,0,0,1,0,,,,,,
166,Danilo ,Defender,23,7,11,43,67%,0,2,19,28,11,0,65,77,42,8,16,6,0,0,2,"1,111",48.3,0,24,13%,2,33,2,0,12,0,3,0,2,1,1,,,,,,
167,Scott Dann ,Defender,17,1,26,10,50%,0,3,23,97,60,0,72,68,57,7,49,33,0,1,0,566,33.29,1,2,0%,1,47,4,0,12,2,1,0,0,1,0,,,,,,
168,Tendayi Darikwa ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
169,Karl Darlow ,Goalkeeper,10,2,15,,,,,,,,,,,,,,,1,1,0,297,29.7,,,,,82,0,0,0,,0,,,,,,,,,,
170,Matteo Darmian ,Defender,8,3,3,16,88%,0,0,7,22,14,0,17,24,27,1,6,6,0,0,0,195,24.38,0,6,0%,0,9,0,0,5,0,0,0,0,0,0,,,,,,
171,David Luiz ,Defender,10,2,13,18,61%,0,2,24,41,23,0,66,51,44,3,17,16,0,0,0,492,49.2,0,1,0%,0,40,4,1,12,0,1,0,0,1,0,,,,,,
172,Jason Davidson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
173,Tom Davies ,Midfielder,33,,,30,67%,,8,24,17,10,,110,117,162,26,19,36,,0,1,691,20.94,0,17,29%,1,22,7,0,38,3,2,0,1,1,0,0.06,,,,,
174,Steven Davis ,Midfielder,23,,,30,70%,,4,15,23,12,,137,61,75,9,14,26,,1,0,"1,044",45.39,1,42,29%,7,45,0,0,8,3,3,1,1,1,0,0.13,,,,,
175,Craig Dawson ,Defender,28,7,39,38,74%,0,5,52,132,81,0,133,183,132,8,117,68,0,0,0,906,32.36,1,42,33%,0,61,6,0,35,4,2,2,0,0,0,,,,,,
176,Kevin De Bruyne ,Midfielder,37,,,62,69%,,24,25,12,3,,207,172,187,63,15,16,,0,16,"2,693",72.78,19,248,25%,41,130,2,0,30,2,8,0,3,5,4,0.22,,,,,
177,David de Gea ,Goalkeeper,37,18,28,,,,,,,,,,,,,,,0,0,0,942,25.46,,,,,260,0,0,0,,0,,,,,,,,,,
178,Siem de Jong ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
179,Zachary Dearnley ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
180,Mathieu Debuchy ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
181,Troy Deeney ,Forward,29,,,15,,,9,5,20,14,,,,,,,,,,2,542,18.69,4,7,,,,1,1,24,16,5,0,5,0,0,0.17,,,,,
182,Jermain Defoe ,Forward,24,,,12,,,4,4,0,0,,,,,,,,,,1,131,5.46,1,5,,,,1,0,12,9,4,0,4,0,3,0.17,,,,,
183,Steven Defour ,Midfielder,24,,,33,67%,,5,46,18,2,,156,58,70,13,5,13,,0,1,"1,016",42.33,1,35,29%,2,68,6,0,13,0,1,0,1,0,0,0.04,,,,,
184,Damien Delaney ,Defender,2,0,5,2,50%,0,0,3,7,5,0,6,3,4,1,0,4,0,0,0,38,19,0,0,0%,0,3,0,0,0,0,0,0,0,0,0,,,,,,
185,Fabian Delph ,Midfielder,22,,,46,74%,,4,30,35,11,,149,114,77,30,21,31,,1,2,"1,614",73.36,1,13,23%,0,52,2,0,15,0,1,0,1,0,0,0.05,,,,,
186,Mousa Dembélé ,Midfielder,28,,,36,67%,,4,33,12,7,,181,141,136,68,9,16,,0,0,"1,422",50.79,0,1,100%,1,37,6,0,48,0,0,0,0,0,0,0,,,,,
187,Jason Denayer ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
188,Alex Denny ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
189,Laurent Depoitre ,Forward,33,,,14,,,6,11,35,24,,,,,,,,,,1,482,14.61,1,3,,,,1,0,28,6,6,2,3,1,1,0.18,,,,,
190,Gerard Deulofeu ,Forward,7,,,5,,,1,4,2,1,,,,,,,,,,0,142,20.29,0,15,,,,0,0,3,1,1,0,0,1,0,0.14,,,,,
191,Fousseni Diabaté ,Forward,14,,,9,67%,,0,8,7,5,,33,53,50,16,14,11,,0,1,227,16.21,0,10,30%,1,4,1,0,1,1,0,0,0,0,0,0,,,,,
192,Mohamed Diamé ,Midfielder,31,,,89,72%,,6,48,28,22,,142,187,203,25,62,57,,0,0,816,26.32,1,6,17%,2,47,3,0,44,0,2,0,2,0,0,0.06,,,,,
193,Grady Diangana ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
194,Brahim Díaz ,Forward,5,,,1,,,1,1,0,0,,,,,,,,,,0,28,5.6,0,1,,,,0,0,1,0,0,0,0,0,0,0,,,,,
195,Diego Cavalieri ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
196,Diego Costa ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
197,Eric Dier ,Midfielder,34,,,61,70%,,9,48,82,46,,170,163,127,13,83,62,,2,2,"2,248",66.12,3,26,19%,2,164,4,0,23,1,0,0,0,0,1,0,,,,,
198,Mame Biram Diouf ,Forward,35,,,48,,,12,14,70,43,,,,,,,,,,2,558,15.94,3,34,,,,6,0,38,23,6,1,2,3,0,0.17,,,,,
199,Brice Dja Djédjé ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
200,Domingos Quina ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
201,Abdoulaye Doucouré ,Midfielder,37,,,79,66%,,10,54,55,26,,345,188,203,41,43,52,,0,3,"2,244",60.65,1,26,23%,2,84,10,0,44,2,7,0,5,1,1,0.19,,,,,
202,Vlad Dragomir ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
203,Aleksandar Dragovic ,Defender,11,3,14,13,77%,0,1,16,42,25,2,50,30,24,1,13,9,0,0,0,337,30.64,0,1,0%,0,32,2,0,7,0,0,0,0,0,0,,,,,,
204,Daniel Drinkwater ,Midfielder,12,,,15,67%,,2,8,7,5,,37,22,30,3,0,3,,0,0,385,32.08,0,2,0%,3,16,0,0,10,0,1,0,1,0,0,0.08,,,,,
205,Martin Dubravka ,Goalkeeper,12,4,11,,,,,,,,,,,,,,,0,1,0,316,26.33,,,,,72,0,0,0,,0,,,,,,,,,,
206,Shane Duffy ,Defender,37,9,52,31,61%,0,5,50,327,237,4,162,254,137,6,198,95,0,1,1,"1,358",36.7,2,3,67%,0,135,8,0,33,7,0,0,0,0,1,,,,,,
207,Demeaco Duhaney ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
208,Stephen Duke-McKenna ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
209,Paul Dummett ,Defender,20,5,18,28,71%,0,1,23,92,56,0,73,93,57,0,55,35,0,1,0,599,29.95,0,22,14%,1,39,1,0,8,0,0,0,0,0,0,,,,,,
210,Lewis Dunk ,Defender,38,10,54,67,49%,1,9,71,223,128,2,252,214,142,10,122,73,4,0,1,"1,496",39.37,1,7,29%,3,164,7,0,36,0,1,0,1,0,0,,,,,,
211,Nathan Dyer ,Midfielder,24,,,22,73%,,4,11,2,1,,82,70,115,23,5,29,,0,0,512,21.33,1,33,15%,2,5,2,0,17,1,0,0,0,0,1,0,,,,,
212,Ederson ,Goalkeeper,36,16,26,,,,,,,,,,,,,,,0,2,0,928,25.78,,,,,147,1,0,0,,0,,,,,,,,,,
213,Eduardo ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
214,Thomas Edwards ,Defender,6,0,15,15,60%,0,1,5,19,10,0,29,28,9,3,8,6,0,0,0,162,27,1,15,13%,0,9,0,0,3,0,0,0,0,0,0,,,,,,
215,Ovie Ejaria ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
216,Callum Elder ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
217,Andrew Eleftheriou ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
218,Robert Elliot ,Goalkeeper,16,3,21,,,,,,,,,,,,,,,0,0,0,491,30.69,,,,,167,0,0,0,,0,,,,,,,,,,
219,Emerson ,Defender,5,1,4,6,67%,0,0,2,9,5,0,17,19,9,5,3,1,0,0,1,131,26.2,0,15,13%,0,4,0,0,3,0,0,0,0,0,0,,,,,,
220,Christian Eriksen ,Midfielder,37,,,51,57%,,37,31,17,3,,227,118,177,29,18,27,,0,10,"2,258",61.03,15,222,23%,24,134,0,0,14,1,10,0,4,6,1,0.27,,,,,
221,Jonny Evans ,Defender,28,4,38,29,76%,0,3,48,126,67,1,142,120,84,10,54,34,1,0,2,961,34.32,1,4,50%,0,80,7,0,26,0,2,2,0,0,0,,,,,,
222,Patrice Evra ,Defender,5,0,10,6,67%,0,0,7,6,4,0,18,18,14,3,7,7,0,0,0,97,19.4,0,2,0%,1,5,0,0,0,1,0,0,0,0,0,,,,,,
223,Lukasz Fabianski ,Goalkeeper,38,9,56,,,,,,,,,,,,,,,0,0,0,"1,113",29.29,,,,,340,0,0,1,,0,,,,,,,,,,
224,Cesc Fàbregas ,Midfielder,32,,,68,72%,,15,22,23,10,,171,118,126,18,10,23,,0,4,"2,189",68.41,8,140,31%,22,127,4,1,25,5,2,0,1,1,1,0.06,,,,,
225,Adam Federici ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
226,Morgan Feeney ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
227,Sofiane Feghouli ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
228,Marouane Fellaini ,Midfielder,16,,,15,53%,,1,14,18,13,,46,69,62,5,38,26,,0,0,393,24.56,0,3,0%,0,11,1,0,13,3,4,2,2,0,1,0.25,,,,,
229,Leroy Fer ,Midfielder,20,,,44,73%,,2,12,23,16,,76,137,92,26,42,22,,2,1,632,31.6,1,8,13%,3,43,5,0,28,1,1,0,0,1,0,0.05,,,,,
230,Nathan Ferguson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
231,Edimilson Fernandes ,Midfielder,14,,,17,53%,,4,16,4,1,,49,48,42,10,10,16,,0,1,268,19.14,0,7,14%,0,18,1,0,5,0,0,0,0,0,0,0,,,,,
232,Federico Fernández ,Defender,30,7,44,40,73%,0,2,38,198,123,0,129,134,105,1,72,63,1,0,1,"1,210",40.33,1,4,25%,0,93,5,0,29,2,1,1,0,0,0,,,,,,
233,Fernandinho ,Midfielder,34,,,62,56%,,11,47,65,47,,207,204,175,22,94,76,,0,3,"2,975",87.5,7,9,0%,18,105,7,0,41,0,5,0,3,2,0,0.15,,,,,
234,Fernando ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
235,Sam Field ,Midfielder,10,,,14,79%,,4,11,7,6,,28,32,38,3,8,9,,0,0,166,16.6,0,8,13%,0,13,3,0,11,0,1,0,0,1,0,0.1,,,,,
236,Stuart Findlay ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
237,Jon Flanagan ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
238,Darren Fletcher ,Midfielder,27,,,47,55%,,5,26,31,12,,133,108,99,15,21,21,,1,1,"1,048",38.81,2,49,33%,6,87,0,0,14,0,1,0,1,0,0,0.04,,,,,
239,Phil Foden ,Midfielder,5,,,1,100%,,0,0,1,0,,0,7,5,3,0,3,,0,1,44,8.8,1,4,25%,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
240,Michael Folivi ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
241,Fraser Forster ,Goalkeeper,20,4,30,,,,,,,,,,,,,,,0,2,0,444,22.2,,,,,105,0,0,0,,0,,,,,,,,,,
242,Ben Foster ,Goalkeeper,37,10,55,,,,,,,,,,,,,,,0,0,0,"1,079",29.16,,,,,367,2,0,1,,0,,,,,,,,,,
243,Timothy Fosu-Mensah ,Defender,21,2,29,42,79%,1,2,31,66,33,0,97,85,66,11,19,22,0,0,0,612,29.14,0,17,24%,0,32,2,0,18,0,0,0,0,0,0,,,,,,
244,Dimitri Foulquier ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
245,Juan Foyth ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
246,Simon Francis ,Defender,32,4,47,49,69%,0,6,49,176,99,1,159,217,131,11,142,75,0,2,1,"1,606",50.19,1,78,31%,1,123,8,1,24,1,0,0,0,0,0,,,,,,
247,Ryan Fraser ,Midfielder,26,,,11,73%,,10,17,29,12,,103,74,75,10,9,26,,0,3,816,31.38,3,138,25%,3,20,0,0,6,1,5,0,4,1,0,0.19,,,,,
248,Freddie Ladapo ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,7,7,0,2,,,,0,0,0,0,0,0,0,0,0,0,,,,,
249,Christian Fuchs ,Defender,25,4,35,41,66%,0,4,58,70,35,0,132,115,91,9,61,37,1,0,1,896,35.84,0,71,14%,1,56,1,0,12,0,0,0,0,0,0,,,,,,
250,Jay Fulton ,Midfielder,2,,,0,0%,,0,0,0,0,,3,0,2,0,0,0,,0,0,8,4,0,0,0%,0,0,1,0,2,0,0,0,0,0,0,0,,,,,
251,Ramiro Funes Mori ,Defender,4,0,2,0,0%,0,0,3,14,8,0,9,9,8,0,7,4,0,0,0,54,13.5,0,0,0%,0,5,1,0,3,0,0,0,0,0,0,,,,,,
252,Manolo Gabbiadini ,Forward,28,,,3,,,3,4,6,3,,,,,,,,,,0,223,7.96,0,5,,,,2,0,14,10,5,0,0,5,2,0.18,,,,,
253,Gabriel Jesus ,Forward,29,,,23,,,9,8,6,4,,,,,,,,,,3,591,20.38,4,2,,,,6,0,28,15,13,3,7,3,3,0.45,,,,,
254,Gabriel Paulista ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
255,Sam Gallagher ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
256,Luke Garbutt ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
257,Florin Gardos ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
258,Dwight Gayle ,Forward,35,,,12,,,14,6,17,10,,,,,,,,,,3,433,12.37,3,5,,,,3,0,23,22,6,1,3,2,1,0.17,,,,,
259,Paulo Gazzaniga ,Goalkeeper,1,1,0,,,,,,,,,,,,,,,0,0,0,22,22,,,,,7,0,0,0,,0,,,,,,,,,,
260,Anthony Georgiou ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
261,Kieran Gibbs ,Defender,33,7,44,41,59%,0,4,48,82,41,1,169,117,104,24,42,39,0,0,1,"1,014",30.73,3,74,26%,0,39,3,0,22,1,0,0,0,0,0,,,,,,
262,Charlie Gilmour ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
263,Olivier Giroud ,Forward,29,,,9,,,12,2,9,7,,,,,,,,,,1,375,12.93,5,3,,,,0,0,13,5,7,4,0,3,3,0.24,,,,,
264,Connor Goldson ,Defender,3,1,5,2,100%,0,1,1,8,6,0,12,13,9,0,10,4,0,0,0,83,27.67,0,1,0%,1,11,1,0,2,0,0,0,0,0,0,,,,,,
265,Joseph Gomez ,Defender,23,9,21,58,78%,1,2,34,48,26,0,144,124,80,23,33,31,0,0,2,"1,337",58.13,2,45,22%,0,49,3,0,15,1,0,0,0,0,0,,,,,,
266,Curtis Good ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
267,Anthony Gordon ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
268,Dan Gosling ,Midfielder,28,,,50,50%,,4,25,25,14,,151,147,177,18,54,58,,0,1,"1,062",37.93,0,6,50%,1,39,8,0,38,2,2,0,1,1,0,0.07,,,,,
269,Yoan Gouffran ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
270,Kamil Grabara ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
271,Lewis Grabban ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
272,Max-Alain Gradel ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
273,Lee Grant ,Goalkeeper,3,0,7,,,,,,,,,,,,,,,0,0,0,78,26,,,,,27,0,0,0,,0,,,,,,,,,,
274,Demarai Gray ,Midfielder,35,,,17,88%,,16,11,11,2,,99,90,104,38,5,24,,1,1,557,15.91,4,86,21%,1,26,2,0,7,4,3,0,2,0,1,0.09,,,,,
275,Robert Green ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
276,Matt Grimes ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
277,Daniel Grimshaw ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
278,Pascal Groß ,Midfielder,38,,,36,67%,,12,14,19,6,,137,79,187,11,13,57,,0,8,"1,215",31.97,16,234,29%,10,68,2,0,33,9,7,1,5,1,0,0.18,,,,,
279,Marko Grujic ,Midfielder,3,,,2,100%,,0,0,0,0,,2,2,3,0,0,2,,0,0,14,4.67,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
280,Jóhann Gudmundsson ,Midfielder,35,,,43,63%,,15,34,33,13,,179,151,167,36,41,49,,0,8,805,23,7,213,30%,1,42,2,0,18,2,2,1,0,1,3,0.06,,,,,
281,Idrissa Gueye ,Midfielder,33,,,117,79%,,6,62,42,13,,287,220,172,18,33,33,,0,1,"1,566",47.45,1,11,27%,1,71,6,1,50,1,2,0,2,0,0,0.06,,,,,
282,Ilkay Gündogan ,Midfielder,30,,,27,56%,,12,16,10,2,,124,75,83,26,4,12,,0,1,"1,402",46.73,2,8,25%,6,34,3,0,14,0,4,1,3,0,1,0.13,,,,,
283,Daniel Gyollai ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
284,Florent Hadergjonaj ,Defender,23,4,28,21,76%,0,4,17,38,16,0,94,61,74,16,15,22,0,0,1,618,26.87,1,98,22%,2,44,3,0,17,4,0,0,0,0,0,,,,,,
285,Sead Haksabanovic ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
286,Ben Hamer ,Goalkeeper,4,1,7,,,,,,,,,,,,,,,0,0,0,71,17.75,,,,,19,0,0,0,,0,,,,,,,,,,
287,Ethan Hamilton ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
